"Price","Entire_Place","Bedrooms","Beds","Bathrooms","Amenities","Accommodates","Cleanliness_Rating","Host_Communication_Rating","Superhost"
75,"Entire",2,2,1,13,4,5,5,"f"
74,"Entire",1,1,1,30,2,4.88,4.96,"t"
68,"Shared",1,1,1,25,2,4.3,4.5,"f"
147,"Entire",2,2,1,32,4,4.63,4.75,"f"
60,"Shared",1,1,1.5,25,3,4.5,4.33,"f"
80,"Entire",1,1,1,11,2,3,5,"f"
60,"Shared",1,1,1,17,2,4.74,4.97,"f"
68,"Shared",1,1,1,36,2,4.95,4.96,"f"
150,"Entire",3,3,2,33,3,4.84,5,"f"
178,"Entire",2,3,1,22,6,4.94,5,"f"
65,"Shared",1,1,1,16,2,4.76,4.97,"f"
140,"Entire",2,2,1,45,2,4.89,4.96,"t"
42,"Shared",1,2,1,38,2,4.7,4.79,"f"
98,"Entire",1,2,1,12,3,4.39,4.96,"f"
154,"Shared",1,1,1,24,1,4.94,4.94,"f"
115,"Shared",1,1,1,16,1,4,5,"f"
42,"Shared",1,1,1,48,1,4.69,5,"t"
27,"Shared",1,1,1,8,1,2,5,"f"
44,"Shared",1,1,1,44,2,4.62,4.97,"t"
80,"Entire",1,1,1,10,1,5,5,"f"
122,"Entire",1,2,1,19,2,3,4,"f"
143,"Entire",2,3,2,21,4,5,5,"f"
115,"Entire",1,2,1,25,2,5,4.88,"f"
53,"Entire",1,1,1,19,3,4.25,5,"f"
41,"Entire",1,1,1,20,2,4.6,4.9,"f"
100,"Entire",1,1,1,14,2,4.75,5,"f"
90,"Entire",1,1,1,15,2,4,3.67,"f"
240,"Entire",1,1,1,33,2,4.93,5,"t"
120,"Entire",1,1,1,12,2,5,5,"f"
100,"Entire",1,1,1,11,2,2,3,"f"
254,"Entire",1,1,1,38,2,4.99,4.94,"t"
72,"Shared",1,1,1,19,2,4,4,"f"
202,"Shared",1,1,1,56,2,4.99,5,"t"
120,"Shared",1,2,1,40,2,4.83,4.89,"f"
250,"Entire",2,2,2,52,4,4.09,4.91,"f"
120,"Entire",3,3,2,41,3,4.86,5,"f"
120,"Entire",1,1,1,14,3,4.33,5,"f"
101,"Entire",1,2,1,43,3,4.83,4.98,"f"
120,"Entire",2,2,1,28,4,4.82,4.96,"f"
60,"Shared",1,1,1,13,2,5,5,"f"
110,"Shared",1,1,1,22,1,5,5,"f"
550,"Entire",3,3,3.5,33,5,4.75,5,"f"
155,"Entire",1,3,1.5,19,6,4.9,4.98,"t"
179,"Entire",1,1,1,21,2,5,4.9,"f"
169,"Entire",2,2,1,17,2,5,5,"f"
229,"Entire",2,3,2.5,51,4,5,5,"f"
88,"Entire",1,1,1,27,2,4.77,4.93,"f"
70,"Entire",1,1,1,28,2,4.92,5,"f"
176,"Entire",1,1,1,38,4,4.27,5,"f"
169,"Shared",1,1,1.5,34,2,4.86,5,"f"
190,"Entire",1,1,1,22,3,4.47,4.84,"f"
99,"Entire",2,2,2,21,4,4.64,5,"f"
62,"Shared",1,1,1,26,2,4.91,4.83,"t"
245,"Entire",2,2,1,59,5,4.75,5,"f"
114,"Entire",1,1,1,14,1,5,5,"f"
73,"Shared",1,1,1,10,2,5,5,"f"
480,"Entire",1,1,2,40,3,4.25,5,"f"
100,"Entire",2,2,1,24,4,4.85,4.98,"t"
355,"Entire",3,3,2,33,8,4.96,5,"f"
189,"Entire",1,1,1,18,2,4.4,5,"f"
97,"Entire",1,2,1,55,5,4.79,4.85,"t"
70,"Entire",1,1,1,38,2,4.63,4.94,"t"
70,"Entire",2,1,1,34,2,4.94,5,"f"
514,"Entire",1,1,1,28,2,4.8,5,"f"
150,"Entire",2,2,2,18,5,5,5,"f"
150,"Entire",1,1,1,11,2,3.67,4.33,"f"
105,"Entire",1,1,1,43,2,4.92,5,"f"
100,"Entire",1,1,1,29,2,4.9,4.96,"t"
50,"Entire",1,1,1,14,2,4.5,5,"f"
149,"Entire",2,2,1,27,6,4.49,4.88,"f"
138,"Entire",2,2,1,33,3,4.5,5,"t"
74,"Entire",1,1,1,32,3,4.48,4.78,"t"
150,"Entire",2,2,2,25,4,3,1,"f"
99,"Entire",1,1,1,41,2,4.92,5,"f"
137,"Entire",1,1,1,30,2,4.8,4.96,"f"
85,"Entire",1,2,1,35,4,4.94,4.91,"f"
85,"Entire",1,1,1,42,2,4.9,4.96,"t"
43,"Shared",1,1,1,26,1,4.33,4.73,"t"
166,"Shared",1,1,1,25,2,4.8,4.9,"t"
74,"Shared",1,1,1,36,2,4.85,4.9,"f"
100,"Entire",1,1,1,20,2,5,5,"f"
174,"Shared",1,2,1,39,4,4.93,4.99,"t"
100,"Entire",1,4,1,49,4,4.58,4.92,"f"
35,"Shared",1,1,2,18,1,4.75,5,"f"
30,"Shared",1,1,1.5,26,1,4.85,5,"f"
141,"Entire",1,1,1,35,4,4.88,4.95,"t"
87,"Entire",1,2,1,13,3,4,5,"f"
100,"Shared",1,1,1,15,1,5,5,"f"
204,"Entire",1,1,1,45,2,5,5,"f"
92,"Entire",1,2,1,25,4,4.96,4.77,"f"
57,"Entire",1,1,1,13,2,4.45,4.91,"f"
149,"Entire",1,2,1,38,4,4.56,4.79,"f"
225,"Entire",4,3,2,37,5,4.43,4.86,"f"
40,"Shared",1,3,1.5,10,3,4.8,4.9,"f"
116,"Entire",1,1,1,38,4,4.81,4.94,"f"
151,"Entire",1,2,1,32,4,4.7,4.89,"t"
110,"Entire",1,1,1,13,4,4.8,5,"f"
70,"Entire",1,1,1,15,3,4.6,5,"f"
45,"Shared",1,1,2,35,2,4.7,4.97,"f"
390,"Entire",4,5,2.5,24,8,4.57,4.86,"f"
135,"Entire",1,1,1,32,3,4.95,5,"f"
140,"Entire",2,2,1,37,5,4.71,5,"t"
139,"Entire",1,2,1,62,3,4.79,4.98,"f"
500,"Shared",1,1,1,20,1,5,5,"f"
73,"Shared",1,1,1,15,1,4.39,4.89,"f"
78,"Entire",1,1,1,13,2,5,5,"f"
425,"Entire",3,3,2,68,6,4.75,4.75,"f"
90,"Entire",1,1,1,13,2,5,4.83,"f"
89,"Entire",1,1,1,35,2,4.92,4.99,"f"
100,"Shared",1,1,1,15,2,4.83,4.83,"f"
93,"Entire",1,2,1,14,3,4,5,"f"
30,"Shared",1,1,2,32,2,4.43,4.84,"f"
89,"Shared",1,1,1,22,1,5,4.89,"f"
95,"Entire",1,2,1,45,4,4.53,4.93,"f"
149,"Entire",1,1,1,20,2,4,5,"f"
304,"Entire",2,2,1,50,4,4.88,4.99,"t"
179,"Entire",1,1,1,12,2,4,5,"f"
240,"Entire",1,1,1.5,47,2,5,4.95,"f"
200,"Entire",1,1,1,20,3,4.14,5,"f"
75,"Entire",1,1,1,47,1,4.83,4.84,"t"
120,"Entire",1,1,1,21,2,4.63,4.63,"f"
120,"Shared",1,1,1,32,2,4.57,5,"f"
450,"Entire",2,1,1,21,2,5,5,"f"
200,"Entire",1,1,1,11,3,3,5,"f"
89,"Shared",1,1,1,13,2,4.97,4.94,"f"
95,"Entire",2,2,1,61,2,4.89,4.9,"t"
76,"Shared",1,1,1,26,1,4.97,4.93,"f"
140,"Entire",1,2,1,55,3,4.98,5,"t"
75,"Shared",1,1,1,18,2,5,5,"f"
308,"Entire",2,2,2,57,5,4.88,4.99,"t"
201,"Entire",1,1,1,32,3,4.9,4.92,"f"
141,"Entire",1,1,1,38,2,4.84,5,"t"
63,"Entire",1,1,1,9,2,5,5,"f"
250,"Entire",2,2,2,16,4,4.54,4.96,"f"
154,"Entire",1,3,1,43,5,4.8,4.99,"f"
399,"Entire",1,1,1,32,3,4.41,4.63,"f"
319,"Entire",1,1,1,51,3,4.93,4.99,"t"
327,"Entire",1,2,1,54,3,5,4.92,"f"
25,"Shared",1,1,1,2,1,5,5,"f"
174,"Entire",1,2,1,57,4,4.94,4.91,"f"
100,"Entire",1,1,1,19,2,4.88,4.85,"f"
201,"Entire",2,2,1.5,27,5,4.78,5,"f"
146,"Entire",1,1,1,22,2,4.51,4.86,"t"
235,"Entire",3,4,2,15,6,5,5,"f"
119,"Entire",1,1,1,42,2,4.68,4.74,"f"
83,"Entire",1,2,1,14,4,4.53,5,"f"
76,"Entire",1,1,1,52,2,4.95,5,"f"
100,"Shared",1,1,1,26,1,5,5,"f"
118,"Entire",2,2,1,20,4,4.75,4.96,"f"
60,"Shared",1,1,1,28,2,4.68,4.52,"f"
120,"Entire",1,1,1,57,2,4.82,5,"f"
30,"Entire",1,1,1,38,2,4.6,4.8,"t"
399,"Entire",3,3,2.5,58,6,4.93,4.93,"t"
270,"Entire",3,4,1.5,50,8,4.88,4.92,"t"
150,"Entire",3,3,2,16,4,4,5,"f"
66,"Shared",1,1,1,62,2,4.74,4.94,"f"
95,"Entire",1,3,1,22,5,4.78,5,"f"
85,"Entire",1,1,1,24,2,4.66,4.98,"f"
250,"Entire",3,3,3,68,6,4.81,4.74,"f"
124,"Entire",1,1,1,17,2,4.45,4.91,"f"
231,"Entire",1,1,1,45,2,4.29,5,"f"
235,"Entire",3,3,1,27,5,5,5,"f"
141,"Entire",1,1,1,31,2,5,5,"t"
130,"Entire",1,2,1,33,3,5,5,"t"
200,"Entire",2,2,2,35,4,4.87,4.94,"f"
95,"Entire",1,2,1,18,4,4.75,4.83,"f"
60,"Shared",1,1,1,9,2,4.33,5,"f"
373,"Entire",1,1,1.5,61,2,4.98,4.97,"t"
259,"Entire",2,2,1,57,4,5,5,"f"
54,"Shared",1,1,1,10,2,4.6,4.8,"f"
62,"Entire",1,2,1,43,3,4.74,4.88,"f"
138,"Entire",1,2,1,41,4,4.93,4.98,"f"
50,"Shared",1,2,1,17,2,4.96,4.94,"f"
80,"Entire",1,2,1,16,4,4.5,5,"f"
68,"Shared",1,1,1,16,2,5,4.95,"f"
112,"Entire",1,1,1,35,2,5,5,"f"
168,"Entire",1,1,1,21,2,5,5,"f"
75,"Shared",1,1,1,16,1,5,5,"f"
71,"Shared",1,2,1,10,4,4.25,4.44,"f"
295,"Entire",3,6,2,15,6,4.75,5,"f"
190,"Shared",1,2,1,33,4,4.83,4.86,"t"
65,"Shared",1,1,1,36,2,4.85,4.83,"f"
66,"Shared",1,1,1.5,69,1,4.55,4.67,"f"
145,"Entire",1,1,1,31,2,4.94,5,"t"
300,"Entire",4,4,2.5,72,6,4.9,5,"f"
503,"Entire",3,3,2,15,6,5,5,"f"
149,"Entire",1,2,1,36,2,4.9,4.99,"f"
105,"Entire",2,6,2,43,4,4.5,4.83,"f"
125,"Entire",2,2,2,17,4,5,5,"f"
171,"Entire",1,1,1,17,2,4.7,4.9,"f"
50,"Shared",1,2,1,10,1,5,5,"f"
160,"Entire",2,2,2,29,4,4.73,4.92,"f"
180,"Entire",1,2,1,59,4,4.89,4.97,"t"
750,"Entire",1,1,1,25,2,4.49,4.82,"f"
129,"Entire",2,2,1,30,4,4.83,4.84,"f"
53,"Shared",1,1,1,23,1,4.67,4.93,"f"
97,"Entire",1,2,1,36,4,4.28,4.86,"f"
380,"Entire",2,2,2,17,4,4.29,4.86,"f"
99,"Shared",1,1,1,47,1,4.8,4.98,"t"
269,"Entire",4,3,2,42,5,5,5,"f"
100,"Entire",2,2,2,19,2,5,5,"f"
70,"Entire",1,1,1,16,2,4.96,4.96,"f"
150,"Entire",2,2,1,10,5,4.5,5,"f"
108,"Entire",2,2,1,34,4,4.94,4.97,"f"
59,"Shared",1,1,1,16,2,5,5,"f"
120,"Entire",1,1,1,15,2,4.8,5,"f"
120,"Entire",1,1,1,17,1,0,5,"f"
430,"Entire",4,4,2,38,6,4.7,5,"f"
190,"Entire",2,2,1,15,4,4.47,4.8,"f"
250,"Entire",1,2,1,44,3,4.97,5,"t"
35,"Shared",1,1,1,13,1,4.22,4.82,"f"
75,"Shared",1,1,1,22,2,5,5,"f"
68,"Entire",1,1,1,35,1,4.83,5,"t"
110,"Shared",1,1,1,12,2,4,4,"f"
149,"Entire",1,1,1,15,2,4.95,4.95,"f"
857,"Entire",2,2,2.5,57,4,4.86,5,"f"
45,"Shared",1,1,1,15,2,4.82,5,"f"
124,"Entire",1,2,1,25,4,4.96,5,"f"
116,"Shared",1,1,1,29,1,5,5,"t"
140,"Entire",1,1,1,10,2,4.67,5,"f"
441,"Entire",7,7,4.5,46,12,4.7,4.89,"t"
90,"Shared",1,1,1,42,1,5,4.95,"t"
90,"Entire",1,1,1,35,2,4.52,4.95,"f"
107,"Shared",1,0,1,36,1,5,4.92,"t"
187,"Entire",2,3,2,15,4,5,5,"f"
75,"Entire",3,2,2,16,4,5,5,"f"
60,"Entire",1,1,1,19,4,5,5,"f"
105,"Entire",1,1,1,39,2,4.95,4.95,"f"
126,"Entire",1,1,1,41,2,4.87,4.88,"t"
60,"Shared",1,1,1,15,2,4.97,4.91,"f"
210,"Entire",1,1,1,43,4,4.79,4.89,"f"
61,"Entire",1,1,1,21,2,4.78,4.94,"t"
66,"Shared",1,1,1,25,2,5,5,"f"
275,"Shared",1,1,1,36,2,4.9,4.96,"t"
90,"Entire",1,1,1,14,2,4.33,5,"f"
195,"Entire",1,2,1,32,2,5,5,"f"
233,"Shared",1,1,1,51,2,4.93,4.98,"t"
72,"Shared",1,1,1,17,2,4.82,4.8,"f"
79,"Shared",1,1,1,32,2,4.82,4.91,"t"
165,"Entire",1,1,1,39,2,4.83,4.99,"t"
45,"Entire",1,3,1,17,3,5,5,"f"
90,"Entire",1,1,1.5,16,3,4.73,4.96,"f"
109,"Entire",1,1,1,38,4,4.83,4.93,"f"
336,"Entire",2,2,2.5,57,4,4.88,4.92,"t"
225,"Entire",1,2,2,16,4,5,5,"f"
41,"Shared",1,1,1,37,1,4.8,4.95,"t"
163,"Entire",1,1,1,50,3,4.8,5,"f"
100,"Shared",1,1,1,8,1,5,5,"f"
159,"Entire",2,2,1,11,4,4.95,5,"f"
106,"Entire",1,1,1,8,2,5,5,"f"
89,"Entire",1,1,1,33,3,4.95,4.98,"f"
109,"Entire",1,2,1,37,3,4.56,4.85,"f"
63,"Shared",1,1,1,38,2,4.71,4.86,"t"
242,"Entire",3,4,2,47,8,4.96,4.99,"f"
170,"Entire",2,2,2,57,4,4.7,4.89,"t"
575,"Entire",5,5,4.5,38,8,4.96,5,"f"
105,"Entire",1,2,1,31,4,4.77,4.9,"f"
120,"Entire",1,1,2,16,2,5,5,"f"
150,"Shared",1,1,2,19,2,5,5,"f"
169,"Entire",1,1,1,17,2,4.89,4.89,"f"
145,"Shared",1,1,1,13,2,5,5,"f"
334,"Entire",1,1,1,48,2,4.96,4.96,"t"
211,"Entire",1,1,2,67,2,5,5,"f"
122,"Entire",1,1,1,27,2,4.75,5,"f"
145,"Entire",1,2,1,15,2,4.85,4.93,"f"
35,"Shared",1,1,1,8,1,5,5,"f"
93,"Entire",1,2,1,18,2,5,5,"f"
350,"Entire",4,6,2.5,48,10,5,5,"f"
112,"Entire",1,1,1,46,2,4.96,4.99,"t"
198,"Entire",2,2,2,13,4,5,5,"f"
339,"Entire",1,2,1.5,38,5,4.91,4.96,"t"
150,"Shared",1,1,1,13,2,5,5,"f"
79,"Entire",1,2,1,35,3,4.58,4.93,"t"
129,"Entire",1,1,1,27,2,4.67,4,"f"
62,"Shared",1,1,1,13,2,4.4,5,"f"
136,"Entire",1,1,1,17,2,4.81,5,"f"
105,"Entire",2,2,1,47,4,4.96,4.97,"t"
89,"Entire",1,1,1,24,2,2.88,4,"f"
171,"Entire",2,3,1,45,5,4.91,4.97,"t"
168,"Shared",1,2,1,35,4,3.25,3.75,"f"
150,"Entire",1,1,1,32,2,4.91,4.93,"f"
295,"Entire",3,4,2,50,6,4.76,4.93,"t"
64,"Shared",1,1,1,25,3,4.86,4.9,"t"
46,"Shared",1,1,1,33,1,4.89,4.84,"t"
85,"Entire",1,2,1,23,4,4.95,4.94,"f"
50,"Shared",1,1,1,11,2,4,4.57,"f"
86,"Entire",1,2,1,19,4,4.5,5,"f"
590,"Entire",4,4,3,33,8,4.6,4.9,"f"
140,"Entire",1,1,1,17,2,4.96,5,"f"
65,"Shared",1,1,1,17,2,4.9,4.97,"f"
100,"Shared",1,1,1,39,1,4.57,5,"f"
100,"Entire",1,1,1,19,2,5,5,"f"
400,"Entire",2,2,2,30,4,5,5,"f"
49,"Shared",1,1,1,13,2,4.55,4.73,"f"
122,"Entire",1,1,1,13,2,4.5,5,"f"
78,"Entire",1,3,1,50,3,4.5,4.84,"t"
275,"Entire",2,2,1.5,29,4,4.79,5,"f"
199,"Entire",2,2,1.5,28,4,4.88,5,"f"
84,"Entire",1,1,1,7,2,4.5,4.5,"f"
15,"Entire",1,1,1,30,4,4.49,4.75,"t"
54,"Entire",1,1,1,8,2,4.11,4.55,"f"
145,"Entire",1,2,1,14,3,4.88,5,"f"
63,"Shared",1,1,1,25,2,4.92,4.94,"t"
180,"Entire",2,2,2,15,4,4.75,5,"f"
50,"Shared",1,1,1,15,1,5,5,"f"
219,"Entire",1,2,1,42,4,4.5,4.92,"f"
260,"Entire",2,2,2,27,4,4.95,4.98,"f"
338,"Entire",3,3,2,46,6,4.99,5,"t"
250,"Entire",1,1,1,38,3,4.98,4.94,"f"
60,"Shared",1,1,2,14,2,5,5,"f"
89,"Entire",2,4,1,26,4,4.74,4.92,"f"
110,"Entire",1,1,1,20,2,5,5,"f"
80,"Entire",1,1,1,36,2,4.99,4.99,"f"
159,"Entire",2,1,1,36,2,4.91,4.95,"t"
108,"Entire",1,1,1,27,2,4.9,4.98,"t"
145,"Entire",1,1,1,18,2,4.92,5,"f"
66,"Entire",1,1,1,17,3,5,4.86,"f"
54,"Shared",1,3,1,61,2,3.57,4.43,"f"
54,"Entire",1,1,1,15,2,5,5,"f"
338,"Entire",2,2,2,51,4,5,4.95,"t"
165,"Entire",3,2,1,25,6,4.6,5,"f"
125,"Entire",1,1,1.5,5,2,5,5,"f"
250,"Entire",3,3,1,20,4,4.6,5,"f"
61,"Shared",1,1,1,15,1,2,5,"f"
229,"Entire",1,1,1,65,2,5,5,"t"
120,"Shared",1,1,1,21,2,4.99,4.99,"t"
125,"Entire",1,1,1,31,2,4.67,4.67,"f"
99,"Entire",1,1,1,24,2,4,4.92,"f"
145,"Entire",2,3,2,16,5,3.47,4.71,"f"
156,"Entire",1,3,1,57,4,4.86,4.97,"t"
180,"Entire",1,1,1,14,4,5,5,"f"
320,"Entire",2,2,1.5,22,4,5,5,"f"
76,"Shared",1,1,1,15,2,2.5,3.5,"f"
74,"Shared",1,1,1,32,2,4.86,4.93,"t"
120,"Shared",1,1,1,39,2,4.74,4.9,"f"
421,"Entire",2,2,2,27,4,5,5,"f"
80,"Entire",1,1,1,11,2,5,5,"f"
255,"Entire",1,1,1,67,2,5,4.96,"t"
130,"Entire",1,1,1,17,2,4.8,5,"f"
83,"Entire",1,1,1,27,2,4.94,5,"t"
89,"Entire",1,2,1,46,5,4.89,4.97,"t"
230,"Entire",2,3,1,15,4,4.43,4.83,"f"
45,"Shared",1,1,1,54,1,4.87,4.88,"t"
43,"Shared",1,1,1,31,1,4.95,4.94,"t"
93,"Shared",1,2,0.5,9,2,4.67,4.33,"f"
117,"Shared",1,1,1,46,2,4.87,5,"t"
125,"Entire",1,1,1,17,2,4.67,4.67,"f"
150,"Entire",1,2,1.5,13,4,5,5,"f"
41,"Shared",1,1,1,15,1,3,5,"f"
210,"Entire",1,2,1,40,3,4.99,5,"t"
126,"Entire",1,1,1,25,2,4.68,4.89,"f"
344,"Entire",4,4,1.5,17,8,5,5,"f"
35,"Shared",1,5,2.5,17,2,4.64,4.96,"t"
125,"Entire",1,1,1,9,4,4.88,5,"f"
200,"Entire",2,1,2,20,4,4.6,5,"f"
60,"Shared",1,1,1,17,2,5,4.96,"f"
177,"Entire",2,3,1,25,5,4.86,4.93,"t"
40,"Shared",1,1,1,13,2,4.83,4.91,"f"
129,"Entire",1,2,1,15,4,4.5,4.75,"f"
87,"Entire",1,1,1,28,2,4.72,4.8,"t"
150,"Entire",2,2,1,16,3,4.72,4.97,"f"
115,"Entire",1,1,1,32,2,4.88,4.94,"f"
60,"Shared",1,1,1,57,1,4.74,4.92,"t"
35,"Shared",1,1,1.5,45,1,4.72,4.83,"f"
76,"Entire",1,1,1,19,2,4.8,4.8,"f"
29,"Shared",1,1,2,15,2,3.75,5,"f"
95,"Entire",1,2,1,29,4,4.84,4.9,"f"
135,"Entire",1,1,1,34,2,4.97,4.97,"f"
900,"Entire",2,2,1.5,38,4,5,5,"f"
125,"Entire",2,2,1,19,6,5,5,"f"
238,"Entire",2,3,1,14,4,5,5,"f"
132,"Entire",1,1,1,22,2,4.88,5,"f"
130,"Entire",1,1,1,11,2,3.67,5,"f"
200,"Entire",1,1,1,16,4,5,5,"f"
97,"Entire",1,1,1,20,2,5,5,"f"
475,"Entire",5,8,5,46,8,4,5,"f"
65,"Shared",1,1,1,22,1,4.77,4.9,"t"
207,"Entire",2,2,1,29,6,4.53,4.93,"f"
55,"Shared",1,1,2,21,2,5,5,"f"
300,"Entire",1,1,1,17,2,4.5,4.67,"f"
175,"Entire",2,2,1.5,18,5,4.85,4.54,"f"
81,"Shared",1,1,1,20,1,4.99,4.98,"t"
49,"Entire",1,1,1,29,2,4.83,4.91,"f"
123,"Entire",1,1,1,27,2,4.9,5,"f"
145,"Shared",1,1,1,13,2,5,4.36,"f"
45,"Shared",1,1,1,5,1,4.37,4.89,"f"
150,"Entire",2,2,1,13,4,5,5,"f"
85,"Shared",1,1,1,18,2,4.8,5,"f"
445,"Entire",2,2,2.5,48,4,4.8,4.91,"t"
200,"Entire",3,3,2.5,18,6,5,5,"f"
85,"Entire",1,1,1,51,3,4.86,4.93,"t"
95,"Entire",1,2,1,12,4,4.71,4.92,"f"
81,"Shared",1,1,2.5,15,2,4.25,4.88,"f"
85,"Shared",1,1,1,22,2,4.5,4.92,"t"
131,"Entire",2,2,2,52,3,4.81,4.9,"f"
45,"Shared",1,1,2,24,1,4,5,"t"
99,"Entire",1,1,1,20,2,5,4.96,"f"
119,"Entire",1,2,1,22,2,5,5,"f"
90,"Entire",1,1,1,12,2,4.57,4.93,"f"
250,"Entire",2,3,2,21,6,5,5,"f"
75,"Entire",1,1,1,11,2,4.56,4.56,"f"
85,"Entire",1,2,1,33,4,4.13,4.38,"f"
74,"Entire",1,1,1,14,2,5,5,"f"
110,"Entire",1,1,1,29,2,4,4.2,"f"
300,"Entire",2,2,1,44,4,4.8,4.87,"f"
63,"Shared",1,1,2,9,2,3,5,"f"
156,"Entire",4,5,3,15,12,4.5,4.5,"f"
66,"Shared",1,1,1,23,1,4.8,4.96,"t"
65,"Entire",1,1,1,18,1,4.89,4.94,"t"
210,"Entire",1,1,1,34,2,4.49,4.73,"t"
160,"Shared",1,1,1,12,2,5,4.5,"f"
150,"Entire",2,2,1.5,17,4,4.75,5,"f"
201,"Entire",2,2,1,14,5,4,5,"f"
399,"Entire",2,2,2.5,35,4,4.96,5,"t"
118,"Entire",1,1,1,41,2,4.49,4.86,"f"
138,"Entire",1,2,1,18,3,4.89,4.94,"f"
89,"Entire",1,2,1,12,4,4.18,4.82,"f"
97,"Entire",1,1,1,32,2,4.92,4.92,"f"
89,"Shared",1,1,1.5,14,2,4.63,4.79,"f"
60,"Shared",1,1,1,11,2,4.62,5,"f"
139,"Entire",1,1,1,16,3,5,5,"f"
156,"Entire",1,1,1,38,2,4.53,4.93,"f"
250,"Entire",1,1,1,18,4,4.8,4.8,"f"
99,"Entire",1,1,1,10,2,4.93,4.79,"f"
25,"Shared",1,2,1,11,1,2.33,4,"f"
59,"Shared",1,1,1,7,2,4,5,"f"
90,"Entire",1,1,1,20,2,4.99,4.98,"f"
189,"Entire",1,1,1,41,2,5,5,"t"
115,"Entire",1,1,1,30,4,4.28,4.73,"f"
350,"Entire",3,3,3.5,59,6,5,5,"f"
120,"Entire",1,1,1,23,2,4.83,5,"f"
50,"Entire",1,4,1,37,5,4.77,4.9,"f"
185,"Entire",1,1,2,37,2,4.92,5,"f"
105,"Shared",1,2,1,22,2,4.89,4.93,"t"
148,"Entire",1,2,1,28,4,4.71,5,"f"
112,"Entire",1,1,1,20,2,4.63,4.88,"f"
95,"Entire",1,1,1,16,2,5,5,"f"
150,"Entire",1,1,1,52,3,4.95,4.99,"t"
200,"Entire",4,5,3,31,6,4.75,4.5,"f"
130,"Entire",1,1,1,18,2,4.38,4.75,"f"
159,"Entire",1,1,1,36,3,4.61,4.89,"f"
50,"Shared",1,1,1,15,3,5,5,"f"
119,"Entire",1,2,1,42,4,4.92,4.97,"t"
70,"Entire",1,1,1,30,2,4.96,4.98,"f"
290,"Entire",1,1,1,36,3,4.47,4.88,"t"
60,"Shared",1,2,1,17,4,4.53,5,"f"
129,"Entire",1,1,1,23,4,4.59,4.88,"t"
123,"Entire",2,1,1,39,2,4.86,4.95,"f"
120,"Shared",1,1,1,48,2,4.79,4.9,"t"
151,"Entire",2,2,1,32,3,4.42,4.75,"t"
190,"Entire",1,3,2,16,4,5,5,"f"
661,"Entire",3,3,2,44,7,4.79,4.85,"f"
201,"Entire",2,2,1.5,12,3,5,5,"f"
120,"Entire",1,1,1,25,2,4.63,5,"f"
264,"Entire",2,2,2,59,4,4.69,5,"f"
179,"Entire",2,1,1,25,2,3.82,4.82,"f"
93,"Entire",2,3,2,31,1,4.86,4.93,"f"
43,"Entire",2,1,1,12,3,5,5,"f"
190,"Entire",2,2,2,16,4,4.53,4.65,"f"
100,"Entire",1,1,1,14,2,4.6,5,"f"
410,"Entire",4,4,2.5,77,5,4.99,4.96,"t"
85,"Entire",1,1,1,28,2,4.36,5,"f"
161,"Entire",1,2,1,20,4,4.84,4.96,"f"
125,"Entire",2,3,2.5,13,4,5,5,"f"
260,"Entire",2,2,2,30,5,4.63,5,"f"
87,"Shared",1,1,1.5,7,2,4.61,4.96,"f"
47,"Shared",1,1,1,50,1,4.94,5,"t"
45,"Shared",1,1,2,15,2,4.89,5,"f"
20,"Shared",1,1,1,17,1,5,5,"f"
66,"Shared",1,1,2,11,2,3,5,"f"
45,"Shared",1,1,2,12,2,4.17,4.58,"f"
57,"Shared",1,1,1,34,1,4.87,4.86,"t"
146,"Entire",2,2,1,14,4,4.5,5,"f"
100,"Entire",1,1,1,30,2,4.92,5,"f"
159,"Entire",2,3,1,29,5,4.66,4.78,"t"
35,"Shared",1,1,1,9,2,4.2,5,"f"
75,"Shared",1,1,1,24,2,4.88,4.95,"f"
231,"Entire",2,2,1,33,3,4.94,4.88,"f"
53,"Shared",1,1,1,21,1,4.31,4.88,"f"
166,"Entire",1,1,1,51,2,4.84,4.99,"t"
185,"Entire",1,2,1,21,3,4.91,4.95,"t"
53,"Shared",1,1,1,25,1,4.8,4.98,"f"
125,"Shared",1,1,1,9,2,4.96,4.69,"f"
185,"Entire",4,7,2.5,30,9,4.66,4.78,"f"
79,"Entire",1,2,1,11,4,2.6,4.8,"f"
46,"Shared",1,1,1,20,2,4.51,4.74,"f"
136,"Shared",1,1,1,12,2,4.89,4.58,"f"
401,"Entire",3,3,2.5,63,6,4.95,4.97,"t"
136,"Shared",1,1,1,14,2,4.97,4.54,"f"
75,"Shared",1,1,0.5,30,2,4.85,4.94,"t"
374,"Entire",2,2,2,57,5,4.92,4.99,"t"
200,"Shared",1,1,1,33,2,4.99,4.99,"t"
272,"Entire",1,1,1,48,4,4.77,4.92,"t"
79,"Entire",2,3,2,21,4,4.91,4.93,"f"
40,"Shared",1,1,1,11,1,4,4.5,"f"
135,"Entire",1,2,1,27,4,4.82,5,"f"
105,"Entire",2,1,1,17,2,4.36,4.88,"f"
85,"Shared",1,1,1,33,3,4.85,4.88,"f"
115,"Entire",1,1,1,36,2,4.9,4.97,"f"
150,"Entire",2,2,1,16,4,4.92,4.92,"f"
100,"Entire",1,1,1,18,2,4.88,4.88,"f"
