"Price","Entire_Place","Bedrooms","Beds","Bathrooms","Amenities","Accommodates","Cleanliness_Rating","Host_Communication_Rating","Superhost"
105,"Entire",2,1,1,26,2,5,5,"f"
144,"Entire",1,2,1,47,4,4.72,4.67,"f"
195,"Entire",3,4,1,46,7,4.74,4.96,"f"
170,"Entire",2,3,1,42,5,4.75,5,"f"
152,"Shared",1,1,1,47,1,4.6,4.88,"t"
121,"Entire",1,2,1,52,4,4.18,4.86,"f"
89,"Shared",1,1,1.5,35,2,5,5,"f"
495,"Entire",4,4,2.5,49,7,4.86,5,"f"
250,"Entire",2,3,1.5,63,6,4.81,4.76,"f"
102,"Shared",1,1,1,34,1,4.92,4.92,"f"
245,"Entire",3,3,2,29,5,4.78,4.83,"f"
174,"Entire",1,1,1,36,3,4.62,4.87,"f"
145,"Entire",1,1,1,26,2,4,4.4,"f"
85,"Entire",1,1,1,67,2,4.86,4.98,"f"
141,"Entire",1,1,1,40,2,4.69,4.79,"f"
31,"Shared",1,1,1,28,1,4.78,5,"f"
100,"Entire",1,1,1,7,2,3.75,5,"f"
95,"Shared",1,1,1,30,1,4.95,4.82,"t"
80,"Entire",1,1,1,37,2,4.82,4.94,"t"
706,"Entire",2,2,2,96,5,4.87,4.96,"t"
59,"Shared",1,1,1,27,2,4.87,4.9,"t"
99,"Shared",1,1,1,48,1,4.71,4.96,"t"
400,"Entire",4,4,4,51,6,5,5,"f"
90,"Entire",1,1,1,29,2,5,5,"f"
186,"Shared",1,1,1,59,2,4.75,4.99,"t"
130,"Entire",1,1,1,11,3,3.25,5,"f"
105,"Entire",2,2,1.5,55,4,4.87,4.97,"f"
65,"Shared",1,1,1,13,2,4.38,4.8,"f"
140,"Entire",9,2,1,34,5,4.71,4.95,"t"
135,"Entire",1,1,1,52,2,4.55,5,"f"
119,"Shared",1,2,1,24,3,4.72,4.74,"f"
233,"Entire",2,2,1,41,4,4.96,5,"f"
321,"Entire",1,1,1,53,2,4.8,4.98,"t"
163,"Shared",1,1,1,28,2,4.84,4.95,"f"
320,"Entire",1,1,1,55,2,4.93,4.86,"f"
25,"Shared",1,1,1,15,2,4.43,4.95,"f"
201,"Entire",3,4,1.5,75,7,4.47,4.92,"f"
90,"Shared",1,1,1.5,33,1,4.83,4.92,"t"
144,"Entire",2,3,1,39,4,4.67,4.78,"f"
102,"Entire",1,1,1,25,2,4.5,5,"f"
361,"Entire",1,1,1,31,2,4.78,4.89,"f"
29,"Entire",1,3,1,35,4,4.46,4.9,"f"
110,"Entire",1,1,1,28,3,4.61,4.92,"f"
131,"Shared",1,1,1,33,2,4.92,4.89,"t"
225,"Entire",3,4,1.5,45,5,4.81,5,"f"
92,"Entire",1,1,1,33,2,4.79,5,"f"
100,"Shared",1,1,2,34,2,4.35,4.93,"t"
155,"Shared",1,1,1,46,2,4.59,4.93,"f"
109,"Entire",1,1,1,11,2,3.9,4.71,"f"
95,"Entire",1,1,1,16,2,4.94,4.98,"f"
80,"Shared",1,1,1.5,36,2,4.99,4.98,"t"
141,"Entire",2,2,1,25,3,4.68,4.95,"f"
150,"Entire",1,1,1,18,1,4.71,4.86,"t"
90,"Shared",1,1,1,34,1,4.93,4.92,"f"
450,"Entire",3,3,3,60,6,4.69,4.81,"f"
207,"Entire",2,2,2,22,3,4.9,4.7,"f"
98,"Shared",1,1,1,33,1,4.98,4.99,"t"
